Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 100	Peptides 100 (2)	Peptides 250-1	Peptides 250-2	Razor + unique peptides 100	Razor + unique peptides 100 (2)	Razor + unique peptides 250-1	Razor + unique peptides 250-2	Unique peptides 100	Unique peptides 100 (2)	Unique peptides 250-1	Unique peptides 250-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 100	Identification type 100 (2)	Identification type 250-1	Identification type 250-2	Sequence coverage 100 [%]	Sequence coverage 100 (2) [%]	Sequence coverage 250-1 [%]	Sequence coverage 250-2 [%]	Intensity	Intensity 100	Intensity 100 (2)	Intensity 250-1	Intensity 250-2	LFQ intensity 100	LFQ intensity 100 (2)	LFQ intensity 250-1	LFQ intensity 250-2	MS/MS Count 100	MS/MS Count 100 (2)	MS/MS Count 250-1	MS/MS Count 250-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
tr|Q9FL22|Q9FL22_ARATH;tr|F4KHG8|F4KHG8_ARATH;tr|A0A178U9B3|A0A178U9B3_ARATH	tr|Q9FL22|Q9FL22_ARATH;tr|F4KHG8|F4KHG8_ARATH;tr|A0A178U9B3|A0A178U9B3_ARATH	2;2;2	2;2;2	2;2;2	>tr|Q9FL22|Q9FL22_ARATH Putative uncharacterized protein OS=Arabidopsis thaliana GN=At5g46400 PE=4 SV=1;>tr|F4KHG8|F4KHG8_ARATH Pre-mRNA-processing factor 39 OS=Arabidopsis thaliana GN=PRP39-2 PE=4 SV=1;>tr|A0A178U9B3|A0A178U9B3_ARATH PRP39-2 OS=Arabidopsi	3	2	2	2	2	1	0	0	2	1	0	0	2	1	0	0	4.2	4.2	4.2	117.36	1022	1022;1036;1036	0	38.385	By MS/MS	By MS/MS	By matching	By matching	4.2	2.3	0	0	15628000	12787000	2840300	0	0	20781000	0	0	0	2	1	0	0	3				1558	4030;4286	True;True	4972;5279	13255;13256;14110	12128;12129;12913	12129;12913		3621;3622		685;719
tr|A0A178U9I4|A0A178U9I4_ARATH	tr|A0A178U9I4|A0A178U9I4_ARATH	1	1	1	>tr|A0A178U9I4|A0A178U9I4_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g20480 PE=4 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.8	8.8	8.8	23.584	216	216	0	171.82	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.8	8.8	8.8	8.8	551660000	277640000	178370000	40512000	55143000	0	0	0	197800000	1	1	1	1	4				1559	4620	True	5701;5702	15309;15310;15311;15312;15313;15314	13993;13994;13995;13996	13993		3623;3624		90;92
tr|Q9FJJ1|Q9FJJ1_ARATH;tr|A0A178U9J9|A0A178U9J9_ARATH	tr|Q9FJJ1|Q9FJJ1_ARATH;tr|A0A178U9J9|A0A178U9J9_ARATH	3;3	3;3	3;3	>tr|Q9FJJ1|Q9FJJ1_ARATH Putative uncharacterized protein At5g62550 OS=Arabidopsis thaliana GN=At5g62550 PE=2 SV=1;>tr|A0A178U9J9|A0A178U9J9_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g62070 PE=4 SV=1	2	3	3	3	1	1	2	2	1	1	2	2	1	1	2	2	6.4	6.4	6.4	53.424	487	487;487	0	40.233	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.9	3.1	6	3.3	81017000	5731700	37938000	27875000	9471900	0	0	52850000	0	2	2	1	2	7				1560	5144;5145;5152	True;True;True	6369;6370;6371;6380	17097;17098;17099;17100;17101;17128;17129	15630;15631;15632;15633;15655;15656;15657	15630;15633;15656		3625;3626;3627;3628;3629		14;17;20;100;103
tr|Q9LZ71|Q9LZ71_ARATH;tr|A0A178U9K0|A0A178U9K0_ARATH	tr|Q9LZ71|Q9LZ71_ARATH;tr|A0A178U9K0|A0A178U9K0_ARATH	1;1	1;1	1;1	>tr|Q9LZ71|Q9LZ71_ARATH AT5g04550/T32M21_140 OS=Arabidopsis thaliana GN=T32M21_140 PE=2 SV=1;>tr|A0A178U9K0|A0A178U9K0_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g03980 PE=4 SV=1	2	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	3.8	3.8	3.8	67.263	599	599;599	0	11.553	By MS/MS	By matching	By matching	By MS/MS	3.8	0	0	3.8	5906900	4021300	0	0	1885500	0	0	0	7163200	1	0	0	1	2				1561	3107	True	3826	10210;10211	9362;9363	9363	412	3630;3631	294	306;309
tr|Q8RY12|Q8RY12_ARATH;tr|A0A178U9N3|A0A178U9N3_ARATH	tr|Q8RY12|Q8RY12_ARATH;tr|A0A178U9N3|A0A178U9N3_ARATH	1;1	1;1	1;1	>tr|Q8RY12|Q8RY12_ARATH AT5g20600/F7C8_190 OS=Arabidopsis thaliana GN=At5g20600 PE=2 SV=1;>tr|A0A178U9N3|A0A178U9N3_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g20560 PE=4 SV=1	2	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	3.2	3.2	3.2	59.989	532	532;532	0	18.098	By matching	By matching	By MS/MS	By matching	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1				1562	521	True	633	1626	1499	1499		3632;3633		449;450
tr|A0A178UB12|A0A178UB12_ARATH;tr|A0A178U9Q2|A0A178U9Q2_ARATH;tr|F4K2M8|F4K2M8_ARATH	tr|A0A178UB12|A0A178UB12_ARATH;tr|A0A178U9Q2|A0A178U9Q2_ARATH;tr|F4K2M8|F4K2M8_ARATH	1;1;1	1;1;1	1;1;1	>tr|A0A178UB12|A0A178UB12_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g19760 PE=4 SV=1;>tr|A0A178U9Q2|A0A178U9Q2_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g19760 PE=4 SV=1;>tr|F4K2M8|F4K2M8_ARATH 2-oxoglutarate	3	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	2.9	2.9	2.9	57.858	515	515;526;549	0	7.4638	By matching	By MS/MS	By matching	By matching	0	2.9	0	0	29039000	0	29039000	0	0	0	29039000	0	0	0	1	0	0	1				1563	1551	True	1894	4929	4490	4490		3634		390
tr|Q8S9K4|Q8S9K4_ARATH;tr|A0A178U9W7|A0A178U9W7_ARATH;tr|Q9LYI8|Q9LYI8_ARATH;tr|O23719|O23719_ARATH;tr|A0A178WJP2|A0A178WJP2_ARATH	tr|Q8S9K4|Q8S9K4_ARATH;tr|A0A178U9W7|A0A178U9W7_ARATH;tr|Q9LYI8|Q9LYI8_ARATH;tr|O23719|O23719_ARATH	4;4;4;3;1	4;4;4;3;1	3;3;3;2;0	>tr|Q8S9K4|Q8S9K4_ARATH AT5g11850/F14F18_20 OS=Arabidopsis thaliana GN=At5g11850 PE=2 SV=1;>tr|A0A178U9W7|A0A178U9W7_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g11570 PE=4 SV=1;>tr|Q9LYI8|Q9LYI8_ARATH MAP3K delta-1 protein kinase OS=	5	4	4	3	2	3	2	0	2	3	2	0	1	2	2	0	4.7	4.7	4.7	97.881	880	880;880;886;406;216	0	33.318	By MS/MS	By MS/MS	By MS/MS	By matching	3.8	2.6	2.6	0	229560000	8894400	135220000	85447000	0	0	106620000	156450000	0	1	5	5	0	11				1564	1844;1845;4246;5013	True;True;True;True	2253;2254;2255;2256;2257;5232;6195	5833;5834;5835;5836;5837;5838;5839;5840;5841;5842;13974;16598;16599	5350;5351;5352;5353;5354;5355;5356;5357;5358;5359;12778;15202	5352;5357;12778;15202	413;414	3635;3636;3637;3638;7256;7257;7258;7640	398;774	396;760;761;763;764;766;767;770
tr|A0A178UA03|A0A178UA03_ARATH;tr|Q9LXC6|Q9LXC6_ARATH;tr|Q6NNN4|Q6NNN4_ARATH	tr|A0A178UA03|A0A178UA03_ARATH;tr|Q9LXC6|Q9LXC6_ARATH;tr|Q6NNN4|Q6NNN4_ARATH	4;4;2	4;4;2	4;4;2	>tr|A0A178UA03|A0A178UA03_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g09150 PE=4 SV=1;>tr|Q9LXC6|Q9LXC6_ARATH Gb|AAD14519.1 OS=Arabidopsis thaliana GN=F17I14_190 PE=1 SV=1;>tr|Q6NNN4|Q6NNN4_ARATH At5g09620 OS=Arabidopsis thaliana PE=	3	4	4	4	2	3	1	2	2	3	1	2	2	3	1	2	10.2	10.2	10.2	59.532	530	530;531;72	0	124.6	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.6	9.8	2.8	3.2	2238500000	602190000	550090000	702400000	383850000	848490000	325640000	0	0	5	4	3	10	22				1565	1315;1316;2706;4060	True;True;True;True	1606;1607;1608;1609;3334;3335;5013	4147;4148;4149;4150;4151;4152;4153;4154;4155;4156;4157;4158;4159;4160;4161;4162;4163;4164;4165;4166;8865;8866;13376	3761;3762;3763;3764;3765;3766;3767;3768;3769;3770;3771;3772;3773;3774;3775;3776;3777;3778;3779;3780;8182;8183;12236	3762;3780;8183;12236		3639;3640;3641;3642;3643;3644;3645;3646;7259;7641		8;9;12;15;16;156;159;160;172;176
tr|A0A178UA78|A0A178UA78_ARATH	tr|A0A178UA78|A0A178UA78_ARATH	2	2	2	>tr|A0A178UA78|A0A178UA78_ARATH RNA helicase OS=Arabidopsis thaliana GN=AXX17_At5g54040 PE=3 SV=1	1	2	2	2	1	2	1	1	1	2	1	1	1	2	1	1	1.8	1.8	1.8	83.841	741	741	0	31.591	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.8	1.8	1.8	1.8	467670000	27113000	403760000	33112000	3683000	0	403760000	0	0	1	2	1	1	5				1566	2219;2356	True;True	2728;2894	7156;7625;7626;7627;7628	6587;7015;7016;7017;7018	6587;7016		3647		711
tr|A0A178UA88|A0A178UA88_ARATH;tr|Q9FFP4|Q9FFP4_ARATH;tr|F4KAT5|F4KAT5_ARATH	tr|A0A178UA88|A0A178UA88_ARATH;tr|Q9FFP4|Q9FFP4_ARATH;tr|F4KAT5|F4KAT5_ARATH	3;3;3	3;3;3	3;3;3	>tr|A0A178UA88|A0A178UA88_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g63270 PE=4 SV=1;>tr|Q9FFP4|Q9FFP4_ARATH Putative uncharacterized protein OS=Arabidopsis thaliana GN=At5g63700 PE=4 SV=1;>tr|F4KAT5|F4KAT5_ARATH Uncharacterized pro	3	3	3	3	0	2	2	0	0	2	2	0	0	2	2	0	2.5	2.5	2.5	65.419	566	566;571;602	0	38.237	By matching	By MS/MS	By MS/MS	By matching	0	2.5	2.5	0	202730000	0	89832000	112900000	0	0	0	214040000	0	0	2	3	0	5				1567	2456;3623;5285	True;True;True	3022;4466;6547	8039;8040;8041;11921;17613	7422;7423;7424;10891;16117	7424;10891;16117		3648;3649		380;381
tr|A0A178UAJ3|A0A178UAJ3_ARATH	tr|A0A178UAJ3|A0A178UAJ3_ARATH	1	1	1	>tr|A0A178UAJ3|A0A178UAJ3_ARATH SIZ1 OS=Arabidopsis thaliana GN=AXX17_At5g59860 PE=4 SV=1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1.1	1.1	1.1	95.867	873	873	0	8.6782	By matching	By matching	By MS/MS	By matching	0	0	1.1	0	3711200	0	0	3711200	0	0	0	7036300	0	0	0	0	0	0				1568	3139	True	3871	10326	9456	9456	415	3650;3651	864	870;872
tr|A0A178UAJ6|A0A178UAJ6_ARATH	tr|A0A178UAJ6|A0A178UAJ6_ARATH	1	1	1	>tr|A0A178UAJ6|A0A178UAJ6_ARATH WPP1 OS=Arabidopsis thaliana GN=AXX17_At5g41010 PE=4 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.5	13.5	13.5	16.621	155	155	0	65.629	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.5	13.5	13.5	13.5	285710000	42493000	172590000	49320000	21311000	60379000	134830000	94315000	79552000	3	4	3	2	12				1569	3403	True	4191	11192;11193;11194;11195;11196;11197;11198;11199;11200;11201;11202	10227;10228;10229;10230;10231;10232;10233;10234;10235;10236;10237;10238	10229		3652		133
tr|Q8L745|Q8L745_ARATH;tr|A0A178UAN0|A0A178UAN0_ARATH;tr|Q9FH07|Q9FH07_ARATH	tr|Q8L745|Q8L745_ARATH;tr|A0A178UAN0|A0A178UAN0_ARATH;tr|Q9FH07|Q9FH07_ARATH	1;1;1	1;1;1	1;1;1	>tr|Q8L745|Q8L745_ARATH AT5g42220/K5J14_2 OS=Arabidopsis thaliana GN=At5g42220 PE=2 SV=1;>tr|A0A178UAN0|A0A178UAN0_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g40020 PE=4 SV=1;>tr|Q9FH07|Q9FH07_ARATH Putative uncharacterized protein O	3	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	2.4	2.4	2.4	92.553	879	879;879;902	0	17.672	By matching	By MS/MS	By matching	By matching	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				1570	802	True	978	2476	2260	2260				
tr|A0A178UAQ0|A0A178UAQ0_ARATH	tr|A0A178UAQ0|A0A178UAQ0_ARATH	1	1	1	>tr|A0A178UAQ0|A0A178UAQ0_ARATH MYB22 OS=Arabidopsis thaliana GN=AXX17_At5g38160 PE=4 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.5	3.5	3.5	50.294	432	432	0	58.298	By MS/MS	By matching	By matching	By MS/MS	3.5	3.5	3.5	3.5	62433000	28939000	20625000	4074500	8795100	0	0	0	25774000	1	0	0	1	2				1571	3377	True	4159	11092;11093;11094;11095;11096;11097	10139;10140	10139		3653		43
tr|C0Z2Z1|C0Z2Z1_ARATH;tr|A0A178UBY2|A0A178UBY2_ARATH;tr|Q8RWI8|Q8RWI8_ARATH;tr|Q9FNG4|Q9FNG4_ARATH;tr|F4K3U5|F4K3U5_ARATH;tr|A0A178UAR2|A0A178UAR2_ARATH;tr|F4K3U7|F4K3U7_ARATH	tr|C0Z2Z1|C0Z2Z1_ARATH;tr|A0A178UBY2|A0A178UBY2_ARATH;tr|Q8RWI8|Q8RWI8_ARATH;tr|Q9FNG4|Q9FNG4_ARATH;tr|F4K3U5|F4K3U5_ARATH;tr|A0A178UAR2|A0A178UAR2_ARATH;tr|F4K3U7|F4K3U7_ARATH	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	>tr|C0Z2Z1|C0Z2Z1_ARATH AT5G06440 protein OS=Arabidopsis thaliana GN=At5g06440 PE=2 SV=1;>tr|A0A178UBY2|A0A178UBY2_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g06020 PE=4 SV=1;>tr|Q8RWI8|Q8RWI8_ARATH Putative uncharacterized protein A	7	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	6.6	6.6	6.6	36.574	320	320;320;405;437;479;479;486	0	10.906	By matching	By MS/MS	By matching	By matching	6.6	6.6	0	6.6	54989000	15102000	37033000	0	2853500	0	0	0	10840000	0	1	0	0	1				1572	3285	True	4044	10759;10760;10761	9851	9851		3654		250
tr|A0A178UAX4|A0A178UAX4_ARATH;tr|F4JXY6|F4JXY6_ARATH	tr|A0A178UAX4|A0A178UAX4_ARATH;tr|F4JXY6|F4JXY6_ARATH	1;1	1;1	1;1	>tr|A0A178UAX4|A0A178UAX4_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g11430 PE=4 SV=1;>tr|F4JXY6|F4JXY6_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=At5g11700 PE=4 SV=1	2	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0.6	0.6	0.6	156.5	1453	1453;1476	0	7.7675	By MS/MS	By MS/MS	By matching	By matching	0.6	0.6	0	0	48829000	13187000	35642000	0	0	0	35642000	0	0	2	1	0	0	3				1573	1059	True	1292	3306;3307	3009;3010;3011	3011		3655		1232
tr|Q9FHD1|Q9FHD1_ARATH;tr|A0A178UAY5|A0A178UAY5_ARATH	tr|Q9FHD1|Q9FHD1_ARATH;tr|A0A178UAY5|A0A178UAY5_ARATH	1;1	1;1	1;1	>tr|Q9FHD1|Q9FHD1_ARATH At5g52280 OS=Arabidopsis thaliana GN=At5g52280 PE=2 SV=1;>tr|A0A178UAY5|A0A178UAY5_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g51160 PE=4 SV=1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.1	1.1	1.1	98.501	853	853;853	0	7.8558	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.1	1.1	1.1	1.1	179740000	81899000	59511000	17403000	20926000	0	0	0	74860000	1	1	1	1	4				1574	3478	True	4281	11470;11471;11472;11473;11474	10484;10485;10486;10487	10484		3656		247
tr|A0A178UB26|A0A178UB26_ARATH;tr|A0A178UB20|A0A178UB20_ARATH;tr|B9DFN4|B9DFN4_ARATH;tr|Q94BN8|Q94BN8_ARATH;tr|Q9FLQ1|Q9FLQ1_ARATH	tr|A0A178UB26|A0A178UB26_ARATH;tr|A0A178UB20|A0A178UB20_ARATH;tr|B9DFN4|B9DFN4_ARATH;tr|Q94BN8|Q94BN8_ARATH;tr|Q9FLQ1|Q9FLQ1_ARATH	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	>tr|A0A178UB26|A0A178UB26_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g54200 PE=4 SV=1;>tr|A0A178UB20|A0A178UB20_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g54200 PE=4 SV=1;>tr|B9DFN4|B9DFN4_ARATH AT5G55100 prot	5	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	2.6	2.6	2.6	73.903	658	658;659;843;844;875	0	23.817	By matching	By MS/MS	By MS/MS	By matching	0	2.6	2.6	0	5920000	0	3081800	2838200	0	0	0	5381100	0	0	1	1	0	2				1575	4368	True	5381	14393;14394	13161;13162	13162		3657;3658;3659		388;394;397
tr|Q56X12|Q56X12_ARATH;tr|Q8VYW7|Q8VYW7_ARATH;tr|A0A178UB37|A0A178UB37_ARATH;tr|Q9LF07|Q9LF07_ARATH	tr|Q56X12|Q56X12_ARATH;tr|Q8VYW7|Q8VYW7_ARATH;tr|A0A178UB37|A0A178UB37_ARATH;tr|Q9LF07|Q9LF07_ARATH	2;2;2;2	2;2;2;2	2;2;2;2	>tr|Q56X12|Q56X12_ARATH Putative uncharacterized protein At5g16210 (Fragment) OS=Arabidopsis thaliana GN=At5g16210 PE=2 SV=1;>tr|Q8VYW7|Q8VYW7_ARATH AT5g16210/T21H19_130 OS=Arabidopsis thaliana GN=At5g16210 PE=2 SV=1;>tr|A0A178UB37|A0A178UB37_ARATH Unchara	4	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	5.1	5.1	5.1	44.9	411	411;1180;1180;1189	0	36.621	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.1	5.1	5.1	5.1	270750000	66776000	124840000	52099000	27036000	104970000	76317000	111680000	83966000	3	4	2	3	12				1576	862;2287	True;True	1057;1058;2805;2806	2658;2659;2660;2661;7344;7345;7346;7347;7348;7349;7350;7351;7352;7353	2418;2419;2420;2421;6769;6770;6771;6772;6773;6774;6775;6776	2418;6775		3660;3661		363;371
tr|Q9LEU5|Q9LEU5_ARATH;tr|A0A178UB98|A0A178UB98_ARATH	tr|Q9LEU5|Q9LEU5_ARATH;tr|A0A178UB98|A0A178UB98_ARATH	5;5	5;5	5;5	>tr|Q9LEU5|Q9LEU5_ARATH Putative uncharacterized protein At5g10950 OS=Arabidopsis thaliana GN=T30N20_220 PE=1 SV=1;>tr|A0A178UB98|A0A178UB98_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g10620 PE=4 SV=1	2	5	5	5	1	2	3	1	1	2	3	1	1	2	3	1	22.5	22.5	22.5	43.62	395	395;397	0	131.14	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.1	10.1	13.4	5.1	65060000	4798000	21513000	38748000	0	0	21513000	0	0	1	3	3	1	8				1577	65;460;2510;2936;4023	True;True;True;True;True	79;560;3088;3603;3604;4965	186;1457;1458;8239;9637;9638;9639;9640;13237	165;1349;1350;7603;8867;8868;8869;12113	165;1350;7603;8868;12113	416	3662;3663;3664;3665;3666;3667;3668;3669;3670;3671;7260	345	246;255;256;282;283;295;299;306;307;346;358
tr|Q8L4Q6|Q8L4Q6_ARATH;tr|A0A178UBA5|A0A178UBA5_ARATH	tr|Q8L4Q6|Q8L4Q6_ARATH;tr|A0A178UBA5|A0A178UBA5_ARATH	1;1	1;1	1;1	>tr|Q8L4Q6|Q8L4Q6_ARATH Putative uncharacterized protein At5g25070 OS=Arabidopsis thaliana GN=At5g25070 PE=2 SV=1;>tr|A0A178UBA5|A0A178UBA5_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g24930 PE=4 SV=1	2	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1.5	1.5	1.5	82.14	736	736;736	0	16.572	By matching	By MS/MS	By MS/MS	By matching	0	1.5	1.5	0	52634000	0	52634000	0	0	0	52634000	0	0	0	3	1	0	4				1578	5875	True	7281	19843;19844	18129;18130;18131;18132	18130		3672		31
tr|Q56YI3|Q56YI3_ARATH;tr|F4K3B8|F4K3B8_ARATH;tr|Q9FLQ5|Q9FLQ5_ARATH;tr|Q683D2|Q683D2_ARATH;tr|A0A178UBB6|A0A178UBB6_ARATH	tr|Q56YI3|Q56YI3_ARATH;tr|F4K3B8|F4K3B8_ARATH;tr|Q9FLQ5|Q9FLQ5_ARATH;tr|Q683D2|Q683D2_ARATH;tr|A0A178UBB6|A0A178UBB6_ARATH	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	>tr|Q56YI3|Q56YI3_ARATH Putative uncharacterized protein At5g55060 OS=Arabidopsis thaliana GN=At5g55060 PE=2 SV=1;>tr|F4K3B8|F4K3B8_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=At5g55060 PE=1 SV=1;>tr|Q9FLQ5|Q9FLQ5_ARATH Putative uncharacterize	5	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	2.9	2.9	2.9	49.495	444	444;569;645;662;662	0	9.9094	By MS/MS	By matching	By matching	By MS/MS	2.9	0	2.9	2.9	19373000	11552000	0	156910	7664200	0	0	0	29116000	1	0	0	1	2				1579	594	True	717	1795;1796;1797	1644;1645	1645		3673;3674		163;167
tr|Q9FMF9|Q9FMF9_ARATH;tr|A0A178UBP3|A0A178UBP3_ARATH	tr|Q9FMF9|Q9FMF9_ARATH;tr|A0A178UBP3|A0A178UBP3_ARATH	4;4	4;4	4;4	>tr|Q9FMF9|Q9FMF9_ARATH Nuclear protein-like OS=Arabidopsis thaliana GN=At5g64270 PE=1 SV=1;>tr|A0A178UBP3|A0A178UBP3_ARATH Uncharacterized protein OS=Arabidopsis thaliana GN=AXX17_At5g63870 PE=4 SV=1	2	4	4	4	3	4	3	2	3	4	3	2	3	4	3	2	4.8	4.8	4.8	141.45	1269	1269;1269	0	90.286	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.4	4.8	3.4	1.7	639480000	171370000	300970000	149880000	17247000	209290000	157290000	168690000	184860000	5	11	5	2	23				1580	2386;2882;5773;5951	True;True;True;True	2932;2933;3536;3537;3538;7156;7157;7371	7824;7825;7826;7827;7828;7829;9451;9452;9453;9454;9455;9456;9457;9458;9459;19500;19501;19502;19503;19504;19505;19506;20135	7200;7201;7202;7203;7204;7205;8710;8711;8712;8713;8714;8715;8716;8717;8718;17828;17829;17830;17831;17832;17833;17834;18381	7202;8711;17829;18381	417;418	3675;3676;3677;7261;7262;7263;7264;7265	125;402	116;129;133;230;235;398;400;404
tr|Q9LSM1|Q9LSM1_ARATH;tr|Q8GXR1|Q8GXR1_ARATH;tr|A0A178UBV7|A0A178UBV7_ARATH	tr|Q9LSM1|Q9LSM1_ARATH;tr|Q8GXR1|Q8GXR1_ARATH;tr|A0A178UBV7|A0A178UBV7_ARATH	1;1;1	1;1;1	1;1;1	>tr|Q9LSM1|Q9LSM1_ARATH Putative uncharacterized protein OS=Arabidopsis thaliana PE=4 SV=1;>tr|Q8GXR1|Q8GXR1_ARATH Putative uncharacterized protein At5g65540 OS=Arabidopsis thaliana GN=At5g65540 PE=2 SV=1;>tr|A0A178UBV7|A0A178UBV7_ARATH Uncharacterized pro	3	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	4	4	4	67.579	595	595;605;605	0.00089566	6.8352	By matching	By matching	By MS/MS	By matching	0	0	4	0	28773000	0	0	28773000	0	0	0	54551000	0	0	0	1	0	1				1581	4500	True	5552	14872	13575	13575		3678;7266		138;146
tr|A0A178UC07|A0A178UC07_ARATH;sp|Q9FKP4|KN14B_ARATH	tr|A0A178UC07|A0A178UC07_ARATH;sp|Q9FKP4|KN14B_ARATH	7;5	7;5	7;5	>tr|A0A178UC07|A0A178UC07_ARATH KCA2 OS=Arabidopsis thaliana GN=AXX17_At5g65280 PE=3 SV=1;>sp|Q9FKP4|KN14B_ARATH Kinesin-like protein KIN-14B OS=Arabidopsis thaliana GN=KIN14B PE=1 SV=1	2	7	7	7	4	4	4	2	4	4	4	2	4	4	4	2	7.9	7.9	7.9	140.81	1267	1267;1264	0	218.36	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.1	4	3.9	3	689210000	160030000	329030000	83839000	116310000	181630000	310960000	251210000	442910000	6	4	4	3	17				1582	388;2406;2514;4027;4960;4961;5073	True;True;True;True;True;True;True	471;2957;3092;4969;6124;6125;6272	1179;7879;8243;13251;16420;16421;16422;16423;16424;16425;16426;16427;16837;16838;16839;16840;16841	1093;7248;7608;12125;15046;15047;15048;15049;15050;15051;15052;15053;15404;15405;15406;15407;15408	1093;7248;7608;12125;15047;15048;15406		3679;3680;3681;3682;3683;3684;3685;3686;3687		22;658;664;677;823;826;827;831;1036
